25287: done 1688 episodes, mean reward 0.007, speed 69.01 f/s
25361: done 1692 episodes, mean reward 0.007, speed 70.18 f/s
25429: done 1695 episodes, mean reward 0.008, speed 65.53 f/s
25500: done 1700 episodes, mean reward 0.008, speed 68.12 f/s
25589: done 1704 episodes, mean reward 0.009, speed 68.08 f/s
25675: done 1709 episodes, mean reward 0.009, speed 68.31 f/s
25761: done 1714 episodes, mean reward 0.009, speed 68.84 f/s
25832: done 1719 episodes, mean reward 0.007, speed 67.20 f/s
25903: done 1724 episodes, mean reward 0.006, speed 69.60 f/s
25974: done 1729 episodes, mean reward 0.006, speed 69.59 f/s
26059: done 1735 episodes, mean reward 0.005, speed 72.00 f/s
26130: done 1740 episodes, mean reward 0.005, speed 69.19 f/s
26201: done 1745 episodes, mean reward 0.004, speed 69.45 f/s
26272: done 1750 episodes, mean reward 0.003, speed 69.34 f/s
26357: done 1756 episodes, mean reward 0.003, speed 70.96 f/s
26428: done 1761 episodes, mean reward 0.003, speed 66.73 f/s
26499: done 1766 episodes, mean reward 0.003, speed 66.52 f/s
26570: done 1771 episodes, mean reward 0.002, speed 66.18 f/s
26641: done 1776 episodes, mean reward 0.001, speed 65.87 f/s
26712: done 1781 episodes, mean reward 0.001, speed 67.94 f/s
26783: done 1786 episodes, mean reward -0.001, speed 69.62 f/s
26854: done 1791 episodes, mean reward -0.002, speed 69.32 f/s
26925: done 1796 episodes, mean reward -0.003, speed 67.00 f/s
26996: done 1801 episodes, mean reward -0.003, speed 70.80 f/s
27081: done 1807 episodes, mean reward -0.004, speed 71.72 f/s
27152: done 1812 episodes, mean reward -0.004, speed 69.72 f/s
27223: done 1817 episodes, mean reward -0.005, speed 69.76 f/s
27309: done 1823 episodes, mean reward -0.005, speed 72.46 f/s
27380: done 1828 episodes, mean reward -0.005, speed 65.89 f/s
27451: done 1833 episodes, mean reward -0.005, speed 68.86 f/s
27522: done 1838 episodes, mean reward -0.005, speed 66.83 f/s
27593: done 1843 episodes, mean reward -0.005, speed 69.71 f/s
27664: done 1848 episodes, mean reward -0.005, speed 68.15 f/s
27749: done 1854 episodes, mean reward -0.005, speed 71.30 f/s
27820: done 1859 episodes, mean reward -0.005, speed 67.82 f/s
27891: done 1864 episodes, mean reward -0.005, speed 66.14 f/s
27962: done 1869 episodes, mean reward -0.005, speed 67.33 f/s
28033: done 1874 episodes, mean reward -0.005, speed 67.30 f/s
28118: done 1880 episodes, mean reward -0.005, speed 71.49 f/s
28189: done 1885 episodes, mean reward -0.005, speed 67.52 f/s
28260: done 1890 episodes, mean reward -0.005, speed 66.89 f/s
28331: done 1895 episodes, mean reward -0.005, speed 67.36 f/s
28402: done 1900 episodes, mean reward -0.005, speed 68.92 f/s
28473: done 1905 episodes, mean reward -0.005, speed 65.54 f/s
28544: done 1910 episodes, mean reward -0.005, speed 68.03 f/s
28615: done 1915 episodes, mean reward -0.005, speed 69.56 f/s
28686: done 1920 episodes, mean reward -0.005, speed 70.51 f/s
28757: done 1925 episodes, mean reward -0.005, speed 66.73 f/s
28842: done 1931 episodes, mean reward -0.005, speed 72.10 f/s
28927: done 1937 episodes, mean reward -0.005, speed 71.15 f/s
28998: done 1942 episodes, mean reward -0.005, speed 67.47 f/s
29084: done 1948 episodes, mean reward -0.005, speed 70.28 f/s
29155: done 1953 episodes, mean reward -0.005, speed 68.89 f/s
29226: done 1958 episodes, mean reward -0.005, speed 69.22 f/s
29297: done 1963 episodes, mean reward -0.005, speed 66.06 f/s
29368: done 1968 episodes, mean reward -0.005, speed 69.40 f/s
29439: done 1973 episodes, mean reward -0.005, speed 68.99 f/s
29524: done 1979 episodes, mean reward -0.005, speed 71.26 f/s
29595: done 1984 episodes, mean reward -0.005, speed 67.62 f/s
29666: done 1989 episodes, mean reward -0.005, speed 67.09 f/s
29737: done 1994 episodes, mean reward -0.005, speed 68.62 f/s
29808: done 1999 episodes, mean reward -0.005, speed 69.09 f/s
29879: done 2004 episodes, mean reward -0.005, speed 69.18 f/s
29950: done 2009 episodes, mean reward -0.005, speed 67.78 f/s
Test done in 1.01 sec, reward -0.005, steps 13
30017: done 2013 episodes, mean reward -0.005, speed 33.53 f/s
30088: done 2018 episodes, mean reward -0.005, speed 69.25 f/s
30159: done 2023 episodes, mean reward -0.005, speed 67.80 f/s
30230: done 2028 episodes, mean reward -0.005, speed 67.65 f/s
30301: done 2033 episodes, mean reward -0.005, speed 70.37 f/s
30386: done 2039 episodes, mean reward -0.005, speed 69.83 f/s
30457: done 2044 episodes, mean reward -0.005, speed 65.87 f/s
30528: done 2049 episodes, mean reward -0.005, speed 68.39 f/s
30599: done 2054 episodes, mean reward -0.005, speed 68.31 f/s
30670: done 2059 episodes, mean reward -0.005, speed 70.64 f/s
30741: done 2064 episodes, mean reward -0.005, speed 68.38 f/s
30826: done 2070 episodes, mean reward -0.005, speed 70.97 f/s
30897: done 2075 episodes, mean reward -0.005, speed 69.74 f/s
30982: done 2081 episodes, mean reward -0.005, speed 70.97 f/s
31067: done 2087 episodes, mean reward -0.005, speed 71.67 f/s
31138: done 2092 episodes, mean reward -0.005, speed 68.55 f/s
31224: done 2098 episodes, mean reward -0.005, speed 72.79 f/s
31295: done 2103 episodes, mean reward -0.005, speed 65.63 f/s
31366: done 2108 episodes, mean reward -0.005, speed 68.58 f/s
31437: done 2113 episodes, mean reward -0.005, speed 68.59 f/s
31508: done 2118 episodes, mean reward -0.005, speed 70.89 f/s
31579: done 2123 episodes, mean reward -0.005, speed 68.89 f/s
31650: done 2128 episodes, mean reward -0.005, speed 67.00 f/s
31721: done 2133 episodes, mean reward -0.005, speed 70.17 f/s
31806: done 2139 episodes, mean reward -0.005, speed 70.93 f/s
31877: done 2144 episodes, mean reward -0.005, speed 67.82 f/s
31962: done 2150 episodes, mean reward -0.005, speed 71.65 f/s
32033: done 2155 episodes, mean reward -0.005, speed 70.05 f/s
32104: done 2160 episodes, mean reward -0.005, speed 68.78 f/s
32189: done 2166 episodes, mean reward -0.005, speed 73.11 f/s
32260: done 2171 episodes, mean reward -0.005, speed 66.68 f/s
32331: done 2176 episodes, mean reward -0.005, speed 66.61 f/s
32402: done 2181 episodes, mean reward -0.005, speed 68.65 f/s
32473: done 2186 episodes, mean reward -0.005, speed 70.82 f/s
32544: done 2191 episodes, mean reward -0.005, speed 67.55 f/s
32619: done 2195 episodes, mean reward -0.004, speed 71.26 f/s
32690: done 2200 episodes, mean reward -0.004, speed 68.23 f/s
32763: done 2204 episodes, mean reward -0.004, speed 71.45 f/s
32838: done 2207 episodes, mean reward -0.003, speed 65.89 f/s
32913: done 2210 episodes, mean reward -0.002, speed 69.78 f/s
32988: done 2213 episodes, mean reward -0.001, speed 68.36 f/s
33060: done 2217 episodes, mean reward -0.000, speed 66.31 f/s
33131: done 2222 episodes, mean reward -0.000, speed 70.34 f/s
33201: done 2227 episodes, mean reward -0.000, speed 69.60 f/s
33275: done 2231 episodes, mean reward 0.000, speed 70.11 f/s
33346: done 2236 episodes, mean reward 0.000, speed 69.25 f/s
33417: done 2241 episodes, mean reward 0.000, speed 70.92 f/s
33488: done 2246 episodes, mean reward 0.000, speed 64.83 f/s
33563: done 2250 episodes, mean reward 0.001, speed 71.49 f/s
33634: done 2255 episodes, mean reward 0.001, speed 67.20 f/s
33739: done 2261 episodes, mean reward 0.001, speed 70.03 f/s
33810: done 2266 episodes, mean reward 0.001, speed 67.87 f/s
33881: done 2271 episodes, mean reward 0.001, speed 67.16 f/s
33956: done 2275 episodes, mean reward 0.002, speed 70.11 f/s
34042: done 2280 episodes, mean reward 0.002, speed 69.55 f/s
34127: done 2286 episodes, mean reward 0.002, speed 72.40 f/s
34198: done 2291 episodes, mean reward 0.002, speed 63.68 f/s
34258: done 2294 episodes, mean reward 0.003, speed 54.94 f/s
34329: done 2299 episodes, mean reward 0.002, speed 62.10 f/s
34389: done 2302 episodes, mean reward 0.003, speed 59.21 f/s
34462: done 2306 episodes, mean reward 0.002, speed 63.17 f/s
34533: done 2310 episodes, mean reward 0.001, speed 61.91 f/s
34607: done 2314 episodes, mean reward 0.001, speed 63.87 f/s
34671: done 2316 episodes, mean reward 0.002, speed 61.41 f/s
34741: done 2321 episodes, mean reward 0.001, speed 61.23 f/s
34833: done 2325 episodes, mean reward 0.002, speed 60.24 f/s
34896: done 2327 episodes, mean reward 0.003, speed 58.45 f/s
34958: done 2330 episodes, mean reward 0.003, speed 61.49 f/s
35029: done 2335 episodes, mean reward 0.003, speed 59.54 f/s
35090: done 2338 episodes, mean reward 0.004, speed 59.38 f/s
35178: done 2343 episodes, mean reward 0.004, speed 58.25 f/s
35254: done 2347 episodes, mean reward 0.005, speed 59.90 f/s
35331: done 2350 episodes, mean reward 0.005, speed 61.19 f/s
35390: done 2354 episodes, mean reward 0.005, speed 56.27 f/s
35463: done 2358 episodes, mean reward 0.005, speed 58.99 f/s
35525: done 2360 episodes, mean reward 0.006, speed 58.60 f/s
35591: done 2362 episodes, mean reward 0.006, speed 62.91 f/s
35667: done 2366 episodes, mean reward 0.007, speed 63.21 f/s
35739: done 2370 episodes, mean reward 0.007, speed 60.56 f/s
35814: done 2374 episodes, mean reward 0.008, speed 60.15 f/s
35876: done 2377 episodes, mean reward 0.008, speed 60.71 f/s
35951: done 2381 episodes, mean reward 0.008, speed 63.24 f/s
36045: done 2385 episodes, mean reward 0.009, speed 62.34 f/s
36110: done 2387 episodes, mean reward 0.010, speed 60.17 f/s
36186: done 2391 episodes, mean reward 0.010, speed 63.13 f/s
36263: done 2395 episodes, mean reward 0.010, speed 59.64 f/s
36334: done 2400 episodes, mean reward 0.009, speed 63.93 f/s
36413: done 2403 episodes, mean reward 0.010, speed 62.86 f/s
36492: done 2407 episodes, mean reward 0.009, speed 60.29 f/s
36562: done 2412 episodes, mean reward 0.009, speed 61.90 f/s
36672: done 2417 episodes, mean reward 0.009, speed 64.56 f/s
36739: done 2420 episodes, mean reward 0.010, speed 62.89 f/s
36810: done 2421 episodes, mean reward 0.011, speed 65.72 f/s
36885: done 2425 episodes, mean reward 0.011, speed 63.67 f/s
36960: done 2429 episodes, mean reward 0.010, speed 66.44 f/s
37051: done 2433 episodes, mean reward 0.011, speed 64.13 f/s
37131: done 2436 episodes, mean reward 0.012, speed 63.78 f/s
37207: done 2440 episodes, mean reward 0.012, speed 64.60 f/s
37282: done 2443 episodes, mean reward 0.012, speed 62.79 f/s
37353: done 2444 episodes, mean reward 0.014, speed 63.90 f/s
37428: done 2447 episodes, mean reward 0.014, speed 63.45 f/s
37501: done 2451 episodes, mean reward 0.014, speed 62.31 f/s
37575: done 2455 episodes, mean reward 0.015, speed 63.38 f/s
37646: done 2460 episodes, mean reward 0.013, speed 62.32 f/s
37717: done 2465 episodes, mean reward 0.012, speed 65.60 f/s
37804: done 2470 episodes, mean reward 0.012, speed 61.63 f/s
37869: done 2474 episodes, mean reward 0.012, speed 62.43 f/s
37940: done 2479 episodes, mean reward 0.011, speed 63.71 f/s
38011: done 2484 episodes, mean reward 0.010, speed 62.48 f/s
38122: done 2488 episodes, mean reward 0.010, speed 61.85 f/s
38199: done 2492 episodes, mean reward 0.010, speed 61.43 f/s
38274: done 2497 episodes, mean reward 0.010, speed 60.78 f/s
38345: done 2502 episodes, mean reward 0.010, speed 62.45 f/s
38417: done 2506 episodes, mean reward 0.010, speed 59.96 f/s
38505: done 2511 episodes, mean reward 0.010, speed 65.54 f/s
38581: done 2515 episodes, mean reward 0.010, speed 61.76 f/s
38644: done 2518 episodes, mean reward 0.009, speed 62.05 f/s
38733: done 2522 episodes, mean reward 0.007, speed 61.81 f/s
38806: done 2525 episodes, mean reward 0.008, speed 64.41 f/s
38880: done 2528 episodes, mean reward 0.009, speed 38.35 f/s
38954: done 2532 episodes, mean reward 0.008, speed 62.66 f/s
39051: done 2534 episodes, mean reward 0.009, speed 63.19 f/s
39122: done 2539 episodes, mean reward 0.008, speed 61.33 f/s
39195: done 2543 episodes, mean reward 0.007, speed 64.50 f/s
